time,operation,density
28865077,HEKPassage,
28866558,HEKGetImage,0.291819924083761
28867292,HEKGetImage,0.5721238964300642
28868079,HEKGetImage,0.8027811836978946
28868220,HEKGetImage,0.8569162638649548
28868232,HEKPassage,
28869730,HEKGetImage,0.36407213970460883
28870450,HEKGetImage,0.5629855505092104
28871170,HEKGetImage,0.755322408857897
28871283,HEKGetImage,0.7849418852544995
28871295,HEKPassage,
28872840,HEKGetImage,0.19534993444484244
28873569,HEKGetImage,0.3094772579251445
28873808,HEKGetImage,0.3469752581947682
