time,operation,density
28856820,Dummy,
28859919,iPSPlateCoating,
28859998,iPSGetImage,0.36883222423083206
28860009,iPSPassage,
28861449,iPSGetImage,0.005625451248776225
28861461,iPSMediumChange,
28862919,iPSGetImage,0.004820911739020094
28864359,iPSGetImage,0.006504140704306456
28864371,iPSMediumChange,
28865811,iPSGetImage,0.010947968050434936
28865822,iPSMediumChange,
28867264,iPSGetImage,0.024590978791832408
28867276,iPSMediumChange,
28868716,iPSGetImage,0.06026328280888017
28868728,iPSMediumChange,
28870176,iPSGetImage,0.1377998077390898
28870187,iPSMediumChange,
28871741,iPSGetImage,0.3032714178812105
28871753,iPSMediumChange,
28871838,iPSPlateCoating,
28871918,iPSGetImage,0.35536619323998314
28871930,iPSPassage,
28873370,iPSGetImage,0.00467902726681723
28873382,iPSMediumChange,
28874840,iPSGetImage,0.004250453620086408
28876280,iPSGetImage,0.006309624872526034
28876291,iPSMediumChange,
28877731,iPSGetImage,0.011660427353064856
28877742,iPSMediumChange,
28879182,iPSGetImage,0.02544190602191772
28879194,iPSMediumChange,
28880634,iPSGetImage,0.059707979233263465
28880645,iPSMediumChange,
28882085,iPSGetImage,0.13123915620494853
28882096,iPSMediumChange,
28884601,iPSGetImage,0.3429828434486464
28884613,iPSMediumChange,
28884629,iPSPlateCoating,
28884708,iPSGetImage,0.33319834018487915
28884719,iPSPassage,
28886159,iPSGetImage,0.0014380189977404828
28886170,iPSMediumChange,
