time,operation,density,memo
28856580,Dummy,,
28860253,iPSPlateCoating,,
28860332,iPSGetImage,0.524070248826233,
28860343,iPSPassage,,
28861783,iPSGetImage,0.006547695335033121,
28861795,iPSMediumChange,,
28863253,iPSGetImage,0.007455503166385974,
28865062,iPSGetImage,0.013903848144013893,
28865074,iPSMediumChange,,
28866518,iPSGetImage,0.025647284943986146,
28866530,iPSMediumChange,,
28867970,iPSGetImage,0.046513596486637006,
28867982,iPSMediumChange,,
28869422,iPSGetImage,0.10860473878430944,
28869434,iPSMediumChange,,
28870874,iPSGetImage,0.28676391985420574,
28870886,iPSMediumChange,,
28871100,iPSPlateCoating,,
28871182,iPSGetImage,0.4054746567946729,
28871194,iPSPassage,,
28872634,iPSGetImage,0.000287320479913543,
28872646,iPSMediumChange,,
28874104,iPSGetImage,0.0003486669957280059,
28875544,iPSGetImage,0.0005168161207706291,
28875555,iPSMediumChange,,
28876995,iPSGetImage,0.0005822666540512411,
28877006,iPSMediumChange,,
28878446,iPSGetImage,0.0008144952365256692,
28878457,iPSMediumChange,,
28879897,iPSGetImage,0.0013509081575372535,
28879908,iPSMediumChange,,
28881348,iPSGetImage,0.0018096153156302512,
28881360,iPSMediumChange,,
28882800,iPSGetImage,0.002589453528056848,
28882811,iPSMediumChange,,
28884648,iPSGetImage,0.005029939108052291,
28884659,iPSMediumChange,,
28886099,iPSGetImage,0.00853845234725691,
28886110,iPSMediumChange,,
28887550,iPSGetImage,0.009573676918394914,
28887561,iPSMediumChange,,
28889480,iPSGetImage,0.012806888846700058,
28889494,iPSMediumChange,,
28890934,iPSGetImage,0.033192425232353086,
28890945,iPSMediumChange,,
28892385,iPSGetImage,0.05088298724937439,
28892396,iPSMediumChange,,
28893904,iPSGetImage,0.05437669303175897,manual
28893911,iPSMediumChange,,manual
28895348,iPSGetImage,0.09303108397372815,manual
28895356,iPSMediumChange,,manual
28896811,iPSGetImage,0.22142791326788638,
28896823,iPSMediumChange,,
28897355,iPSPlateCoating,,
28897435,iPSGetImage,0.2453696493079609,
28897446,iPSPassage,,
28898886,iPSGetImage,0.004387487761929012,
28898897,iPSMediumChange,,
28900356,iPSGetImage,0.002945603079183865,
28901796,iPSGetImage,0.003452467443469953,
28901807,iPSMediumChange,,
28903247,iPSGetImage,0.005088191972691958,
28903258,iPSMediumChange,,
28904698,iPSGetImage,0.010175536992065245,
28904709,iPSMediumChange,,
28906149,iPSGetImage,0.02330219681130328,
28906160,iPSMediumChange,,
28907600,iPSGetImage,0.05766648871829872,
28907611,iPSMediumChange,,
