time,operation,density,passage_group
28865077,HEKPassage,,0
28866477,HEKGetImage,0.3071497058653056,0
28867198,HEKGetImage,0.5333581203750651,0
28867918,HEKGetImage,0.7534650965885624,0
28867999,HEKGetImage,0.7462264341002827,0
28868011,HEKPassage,,1
28869507,HEKGetImage,0.29512883362506503,1
28870227,HEKGetImage,0.5118956003568318,1
28870947,HEKGetImage,0.6453693252512865,1
28871671,HEKGetImage,0.8419024692816636,1
28871683,HEKPassage,,2
28873123,HEKGetImage,0.20711002189791203,2
28873796,HEKGetImage,0.2816321194639084,2
28874941,HEKGetImage,0.5245370481125285,2
28874953,HEKSampling,,2
