time,operation,density,passage_group
28860176,iPSPassage,,0
28861626,iPSGetImage,0.005605200484994028,0
28861637,iPSMediumChange,,0
28863094,iPSGetImage,0.005479247109149964,0
28865035,iPSGetImage,0.009305050425164899,0
28865046,iPSMediumChange,,0
28866489,iPSGetImage,0.016687392086361774,0
28866502,iPSMediumChange,,0
28867942,iPSGetImage,0.03694375736616835,0
28867954,iPSMediumChange,,0
28869394,iPSGetImage,0.08971608238398443,0
28869406,iPSMediumChange,,0
28870846,iPSGetImage,0.21544697121590614,0
28870858,iPSMediumChange,,0
28871434,iPSPlateCoating,,0
28871514,iPSGetImage,0.326611475098737,0
28871526,iPSPassage,,1
28872966,iPSGetImage,0.0030819853310559632,1
28872978,iPSMediumChange,,1
28874436,iPSGetImage,0.0035439276279447297,1
28875876,iPSGetImage,0.004506546403507419,1
28875887,iPSMediumChange,,1
28877327,iPSGetImage,0.007715662778944223,1
28877338,iPSMediumChange,,1
28878778,iPSGetImage,0.014703156154794,1
28878789,iPSMediumChange,,1
28880229,iPSGetImage,0.03385722763648242,1
28880240,iPSMediumChange,,1
28881680,iPSGetImage,0.08089706450102252,1
28881691,iPSMediumChange,,1
28883131,iPSGetImage,0.1717038392426901,1
28883142,iPSMediumChange,,1
28884423,iPSPlateCoating,,1
28884503,iPSGetImage,0.22296738791882667,1
28884524,iPSPassage,,2
28885964,iPSGetImage,0.004642191901274641,2
28885975,iPSMediumChange,,2
28887434,iPSGetImage,0.00295902292309046,2
