time,operation,density,memo,passage_group
28860343,iPSPassage,,,0
28861783,iPSGetImage,0.006547695335033121,,0
28861795,iPSMediumChange,,,0
28863253,iPSGetImage,0.007455503166385974,,0
28865062,iPSGetImage,0.013903848144013893,,0
28865074,iPSMediumChange,,,0
28866518,iPSGetImage,0.025647284943986146,,0
28866530,iPSMediumChange,,,0
28867970,iPSGetImage,0.046513596486637006,,0
28867982,iPSMediumChange,,,0
28869422,iPSGetImage,0.10860473878430944,,0
28869434,iPSMediumChange,,,0
28870874,iPSGetImage,0.28676391985420574,,0
28870886,iPSMediumChange,,,0
28871100,iPSPlateCoating,,,0
28871182,iPSGetImage,0.4054746567946729,,0
28871194,iPSPassage,,,1
28872634,iPSGetImage,0.000287320479913543,,1
28872646,iPSMediumChange,,,1
28874104,iPSGetImage,0.0003486669957280059,,1
28875544,iPSGetImage,0.0005168161207706291,,1
28875555,iPSMediumChange,,,1
28876995,iPSGetImage,0.0005822666540512411,,1
28877006,iPSMediumChange,,,1
28878446,iPSGetImage,0.0008144952365256692,,1
28878457,iPSMediumChange,,,1
28879897,iPSGetImage,0.0013509081575372535,,1
28879908,iPSMediumChange,,,1
28881348,iPSGetImage,0.0018096153156302512,,1
28881360,iPSMediumChange,,,1
28882800,iPSGetImage,0.002589453528056848,,1
28882811,iPSMediumChange,,,1
28884648,iPSGetImage,0.005029939108052291,,1
28884659,iPSMediumChange,,,1
28886099,iPSGetImage,0.00853845234725691,,1
28886110,iPSMediumChange,,,1
28887550,iPSGetImage,0.009573676918394914,,1
28887561,iPSMediumChange,,,1
28889480,iPSGetImage,0.012806888846700058,,1
28889494,iPSMediumChange,,,1
28890934,iPSGetImage,0.033192425232353086,,1
28890945,iPSMediumChange,,,1
28892385,iPSGetImage,0.05088298724937439,,1
28892396,iPSMediumChange,,,1
28893904,iPSGetImage,0.05437669303175897,manual,1
28893911,iPSMediumChange,,manual,1
28895348,iPSGetImage,0.09303108397372815,manual,1
28895356,iPSMediumChange,,manual,1
28896811,iPSGetImage,0.22142791326788638,,1
28896823,iPSMediumChange,,,1
28897355,iPSPlateCoating,,,1
28897435,iPSGetImage,0.2453696493079609,,1
28897446,iPSPassage,,,2
28898886,iPSGetImage,0.004387487761929012,,2
28898897,iPSMediumChange,,,2
28900356,iPSGetImage,0.002945603079183865,,2
28901796,iPSGetImage,0.003452467443469953,,2
28901807,iPSMediumChange,,,2
28903247,iPSGetImage,0.005088191972691958,,2
28903258,iPSMediumChange,,,2
28904698,iPSGetImage,0.010175536992065245,,2
28904709,iPSMediumChange,,,2
28906149,iPSGetImage,0.02330219681130328,,2
28906160,iPSMediumChange,,,2
28907600,iPSGetImage,0.05766648871829872,,2
28907611,iPSMediumChange,,,2
28909051,iPSGetImage,0.12555031683913634,,2
28909062,iPSMediumChange,,,2
28910502,iPSGetImage,0.25869356980862224,,2
28910513,iPSMediumChange,,,2
28910941,iPSGetImage,0.28913485659651394,,2
28910952,iPSSampling,,,2
