experiment_name,experiment_uuid,task_group_id,task_id,processing_time,experiment_operation,scheduled_time,task_response,optimal_time_reference_time,result_path
LabwareRefillExperiment,129bc253-739b-4d1e-a3d8-e3218b59fafe,0,0,0,LabwareRefill,28858020,success,28859549,iPSsimulation/results/2024-11-13_real_round3/step_00000001/result.csv
LabwareRefillExperiment,129bc253-739b-4d1e-a3d8-e3218b59fafe,0,1,120,LabwareRefill,28859460,success,28859584,iPSsimulation/results/2024-11-13_real_round3/step_00000007/result.csv
IPSExperiment,iPS_Experiment_0,1,0,20,iPSPlateCoating,28859584,success,28859601,iPSsimulation/results/2024-11-13_real_round3/step_00000008/result.csv
IPSExperiment,iPS_Experiment_0,1,1,10,iPSGetImage,28859664,success,28859674,iPSsimulation/results/2024-11-13_real_round3/step_00000009/result.csv
IPSExperiment,iPS_Experiment_0,1,2,80,iPSPassage,28859674,success,28859751,iPSsimulation/results/2024-11-13_real_round3/step_00000010/result.csv
IPSExperiment,iPS_Experiment_1,1,0,20,iPSPlateCoating,28859751,success,28859768,iPSsimulation/results/2024-11-13_real_round3/step_00000011/result.csv
IPSExperiment,iPS_Experiment_1,1,1,10,iPSGetImage,28859831,success,28859842,iPSsimulation/results/2024-11-13_real_round3/step_00000012/result.csv
IPSExperiment,iPS_Experiment_1,1,2,80,iPSPassage,28859841,success,28859918,iPSsimulation/results/2024-11-13_real_round3/step_00000013/result.csv
IPSExperiment,iPS_Experiment_2,1,0,20,iPSPlateCoating,28859918,success,28859935,iPSsimulation/results/2024-11-13_real_round3/step_00000014/result.csv
IPSExperiment,iPS_Experiment_2,1,1,10,iPSGetImage,28859998,success,28860008,iPSsimulation/results/2024-11-13_real_round3/step_00000015/result.csv
IPSExperiment,iPS_Experiment_2,1,2,80,iPSPassage,28860008,success,28860085,iPSsimulation/results/2024-11-13_real_round3/step_00000016/result.csv
IPSExperiment,iPS_Experiment_3,1,0,20,iPSPlateCoating,28860085,success,28860102,iPSsimulation/results/2024-11-13_real_round3/step_00000017/result.csv
IPSExperiment,iPS_Experiment_3,1,1,10,iPSGetImage,28860165,success,28860176,iPSsimulation/results/2024-11-13_real_round3/step_00000018/result.csv
IPSExperiment,iPS_Experiment_3,1,2,80,iPSPassage,28860175,success,28860252,iPSsimulation/results/2024-11-13_real_round3/step_00000019/result.csv
IPSExperiment,iPS_Experiment_4,1,0,20,iPSPlateCoating,28860252,success,28860269,iPSsimulation/results/2024-11-13_real_round3/step_00000020/result.csv
IPSExperiment,iPS_Experiment_4,1,1,10,iPSGetImage,28860332,success,28860343,iPSsimulation/results/2024-11-13_real_round3/step_00000021/result.csv
IPSExperiment,iPS_Experiment_4,1,2,80,iPSPassage,28860342,success,28860419,iPSsimulation/results/2024-11-13_real_round3/step_00000022/result.csv
