experiment_name,experiment_uuid,task_group_id,task_id,processing_time,experiment_operation,scheduled_time,task_response,optimal_time_reference_time,result_path,processing_time_min
LabwareRefillExperiment,129bc253-739b-4d1e-a3d8-e3218b59fafe,0,0,0,LabwareRefill,2024-11-13 07:00:00,success,2024-11-14 08:29:00,iPSsimulation/results/2024-11-13_real_round3/step_00000001/result.csv,0
LabwareRefillExperiment,129bc253-739b-4d1e-a3d8-e3218b59fafe,0,1,120,LabwareRefill,2024-11-14 07:00:00,success,2024-11-14 09:04:00,iPSsimulation/results/2024-11-13_real_round3/step_00000007/result.csv,120
IPSExperiment,iPS_Experiment_0,1,0,20,iPSPlateCoating,2024-11-14 09:04:00,success,2024-11-14 09:21:00,iPSsimulation/results/2024-11-13_real_round3/step_00000008/result.csv,20
IPSExperiment,iPS_Experiment_0,1,1,10,iPSGetImage,2024-11-14 10:24:00,success,2024-11-14 10:34:00,iPSsimulation/results/2024-11-13_real_round3/step_00000009/result.csv,10
IPSExperiment,iPS_Experiment_0,1,2,80,iPSPassage,2024-11-14 10:34:00,success,2024-11-14 11:51:00,iPSsimulation/results/2024-11-13_real_round3/step_00000010/result.csv,80
IPSExperiment,iPS_Experiment_1,1,0,20,iPSPlateCoating,2024-11-14 11:51:00,success,2024-11-14 12:08:00,iPSsimulation/results/2024-11-13_real_round3/step_00000011/result.csv,20
IPSExperiment,iPS_Experiment_1,1,1,10,iPSGetImage,2024-11-14 13:11:00,success,2024-11-14 13:22:00,iPSsimulation/results/2024-11-13_real_round3/step_00000012/result.csv,10
IPSExperiment,iPS_Experiment_1,1,2,80,iPSPassage,2024-11-14 13:21:00,success,2024-11-14 14:38:00,iPSsimulation/results/2024-11-13_real_round3/step_00000013/result.csv,80
IPSExperiment,iPS_Experiment_2,1,0,20,iPSPlateCoating,2024-11-14 14:38:00,success,2024-11-14 14:55:00,iPSsimulation/results/2024-11-13_real_round3/step_00000014/result.csv,20
IPSExperiment,iPS_Experiment_2,1,1,10,iPSGetImage,2024-11-14 15:58:00,success,2024-11-14 16:08:00,iPSsimulation/results/2024-11-13_real_round3/step_00000015/result.csv,10
IPSExperiment,iPS_Experiment_2,1,2,80,iPSPassage,2024-11-14 16:08:00,success,2024-11-14 17:25:00,iPSsimulation/results/2024-11-13_real_round3/step_00000016/result.csv,80
IPSExperiment,iPS_Experiment_3,1,0,20,iPSPlateCoating,2024-11-14 17:25:00,success,2024-11-14 17:42:00,iPSsimulation/results/2024-11-13_real_round3/step_00000017/result.csv,20
IPSExperiment,iPS_Experiment_3,1,1,10,iPSGetImage,2024-11-14 18:45:00,success,2024-11-14 18:56:00,iPSsimulation/results/2024-11-13_real_round3/step_00000018/result.csv,10
IPSExperiment,iPS_Experiment_3,1,2,80,iPSPassage,2024-11-14 18:55:00,success,2024-11-14 20:12:00,iPSsimulation/results/2024-11-13_real_round3/step_00000019/result.csv,80
IPSExperiment,iPS_Experiment_4,1,0,20,iPSPlateCoating,2024-11-14 20:12:00,success,2024-11-14 20:29:00,iPSsimulation/results/2024-11-13_real_round3/step_00000020/result.csv,20
IPSExperiment,iPS_Experiment_4,1,1,10,iPSGetImage,2024-11-14 21:32:00,success,2024-11-14 21:43:00,iPSsimulation/results/2024-11-13_real_round3/step_00000021/result.csv,10
