well,R,G,B
A1,237.5,158.0,63.0
A2,245.0,162.5,63.0
A3,244.0,159.0,73.5
A4,239.5,167.5,81.0
A5,236.5,234.0,234.0
A6,235.0,235.0,237.0
A7,234.0,234.0,236.0
A8,235.5,236.5,240.5
A9,232.5,233.5,237.5
A10,233.0,235.5,237.0
A11,221.5,223.5,227.0
A12,217.0,218.0,222.0
B1,232.0,133.5,43.0
B2,246.0,141.0,49.0
B3,238.0,129.0,37.5
B4,242.0,140.0,48.5
B5,244.5,237.0,238.0
B6,237.5,237.0,239.0
B7,240.0,239.0,244.0
B8,239.0,238.0,243.0
B9,236.0,235.5,238.5
B10,233.0,233.5,236.0
B11,228.0,228.0,231.0
B12,215.0,215.0,219.5
C1,242.0,143.5,46.0
C2,243.5,146.0,43.0
C3,240.0,146.5,50.0
C4,239.0,145.0,49.0
C5,245.0,239.0,239.0
C6,238.0,238.0,240.0
C7,240.5,240.0,242.5
C8,238.0,237.0,242.0
C9,234.5,235.5,239.5
C10,233.5,233.5,236.5
C11,228.0,229.0,231.5
C12,222.5,222.5,224.5
D1,238.0,151.5,80.0
D2,237.0,147.0,68.5
D3,236.0,152.0,90.0
D4,241.0,151.0,86.0
D5,244.5,238.0,238.5
D6,239.5,238.0,241.0
D7,239.0,239.0,241.0
D8,237.0,236.0,241.0
D9,236.0,237.0,241.0
D10,235.0,234.5,237.0
D11,228.0,227.5,230.5
D12,219.5,220.5,223.5
E1,229.0,125.5,52.5
E2,228.0,120.5,39.0
E3,234.0,125.0,42.0
E4,235.0,124.0,39.0
E5,243.0,237.0,237.0
E6,238.5,238.0,239.0
E7,239.5,238.5,243.5
E8,240.0,239.0,244.0
E9,237.5,236.5,240.5
E10,236.5,237.5,241.0
E11,232.5,231.5,236.5
E12,222.5,223.5,227.5
F1,236.5,148.5,52.5
F2,235.0,154.0,54.5
F3,241.5,155.0,52.5
F4,239.0,158.5,58.0
F5,244.0,239.5,239.0
F6,238.0,238.0,240.0
F7,242.5,242.5,244.5
F8,238.0,237.0,242.0
F9,237.0,236.0,241.0
F10,237.0,237.0,239.0
F11,231.0,230.0,235.0
F12,218.0,217.0,222.0
G1,134.0,135.5,79.0
G2,224.0,148.0,50.0
G3,221.0,143.0,53.0
G4,209.5,140.0,49.5
G5,239.0,237.0,235.5
G6,238.0,237.0,239.5
G7,237.0,238.0,242.0
G8,238.0,238.0,240.5
G9,237.0,236.0,241.0
G10,238.0,239.0,243.0
G11,235.0,235.0,237.5
G12,219.5,218.5,223.5
H1,232.0,144.0,50.0
H2,239.5,149.5,58.0
H3,230.0,144.5,58.0
H4,227.0,148.0,55.0
H5,240.0,237.0,237.0
H6,235.0,235.0,237.0
H7,237.0,238.5,240.0
H8,240.0,240.0,242.0
H9,236.5,236.0,239.5
H10,235.0,236.0,238.5
H11,235.0,236.0,238.0
H12,228.5,229.5,232.0
