well,R,G,B
A5,239.5,141.5,45.0
A6,234.5,139.0,45.5
A7,235.0,141.5,46.5
A8,235.5,139.5,42.5
B5,57.0,66.0,58.0
B6,53.5,61.0,52.0
B7,47.5,59.5,47.0
B8,56.0,71.0,60.5
C5,242.5,138.5,43.5
C6,238.0,138.5,46.0
C7,240.0,136.0,48.0
C8,237.5,138.5,44.5
D5,61.0,71.0,62.0
D6,56.0,79.5,75.5
D7,38.5,63.5,62.5
D8,44.0,63.0,57.5
E5,242.5,141.5,47.0
E6,245.0,143.5,52.0
E7,240.0,139.0,41.0
E8,244.5,141.5,48.0
F5,232.0,126.0,54.0
F6,236.5,131.5,47.5
F7,228.0,127.5,50.5
F8,232.5,142.5,61.5
G5,103.0,155.5,149.5
G6,79.0,150.5,152.0
G7,86.5,147.5,149.0
G8,96.5,152.0,148.5
H5,237.0,136.0,41.0
H6,238.5,138.5,39.5
H7,237.0,140.0,42.5
H8,232.5,148.5,54.5
