well,R,G,B,column,row,Color1_ratio,Color2_ratio,Color3_ratio,tag
A9,238.5,128.0,41.5,9,A,0.2536758147381998,0.1079170655019326,0.6384071197598674,Sample
A10,240.5,127.5,40.0,10,A,0.2536758147381998,0.1079170655019326,0.6384071197598674,Sample
A11,234.0,127.5,38.5,11,A,0.2536758147381998,0.1079170655019326,0.6384071197598674,Sample
A12,237.0,124.0,37.5,12,A,0.2536758147381998,0.1079170655019326,0.6384071197598674,Sample
B9,232.5,135.0,43.0,9,B,0.7203746005952325,0.1398126997023838,0.1398126997023838,Sample
B10,237.0,133.0,46.0,10,B,0.7203746005952325,0.1398126997023838,0.1398126997023838,Sample
B11,234.5,120.5,48.0,11,B,0.7203746005952325,0.1398126997023838,0.1398126997023838,Sample
B12,234.5,132.0,44.5,12,B,0.7203746005952325,0.1398126997023838,0.1398126997023838,Sample
C9,239.0,136.0,43.0,9,C,0.5133325421764726,0.2433337289117637,0.2433337289117637,Sample
C10,234.0,154.5,60.5,10,C,0.5133325421764726,0.2433337289117637,0.2433337289117637,Sample
C11,236.5,135.0,54.5,11,C,0.5133325421764726,0.2433337289117637,0.2433337289117637,Sample
C12,239.0,130.5,40.5,12,C,0.5133325421764726,0.2433337289117637,0.2433337289117637,Sample
D9,154.5,148.5,103.0,9,D,0.2591819700496091,0.640818029950391,0.0999999999999999,Sample
D10,150.0,148.5,114.5,10,D,0.2591819700496091,0.640818029950391,0.0999999999999999,Sample
D11,149.0,145.0,108.0,11,D,0.2591819700496091,0.640818029950391,0.0999999999999999,Sample
D12,134.5,130.0,92.0,12,D,0.2591819700496091,0.640818029950391,0.0999999999999999,Sample
E9,128.5,110.5,55.5,9,E,0.2345294433517553,0.4232744018669502,0.3421961547812945,Sample
E10,124.5,109.0,53.0,10,E,0.2345294433517553,0.4232744018669502,0.3421961547812945,Sample
E11,127.0,110.0,55.5,11,E,0.2345294433517553,0.4232744018669502,0.3421961547812945,Sample
E12,112.0,99.5,54.5,12,E,0.2345294433517553,0.4232744018669502,0.3421961547812945,Sample
F9,241.0,138.5,55.5,9,F,0.7331207903127849,0.1000000000000001,0.166879209687215,Sample
F10,236.5,127.0,44.5,10,F,0.7331207903127849,0.1000000000000001,0.166879209687215,Sample
F11,234.5,135.5,56.5,11,F,0.7331207903127849,0.1000000000000001,0.166879209687215,Sample
F12,231.0,133.5,44.0,12,F,0.7331207903127849,0.1000000000000001,0.166879209687215,Sample
G9,233.0,139.0,40.5,9,G,0.5694656131217992,0.2152671934391005,0.2152671934391003,Sample
G10,240.0,150.5,56.0,10,G,0.5694656131217992,0.2152671934391005,0.2152671934391003,Sample
G11,236.0,137.0,56.0,11,G,0.5694656131217992,0.2152671934391005,0.2152671934391003,Sample
G12,237.0,137.0,46.0,12,G,0.5694656131217992,0.2152671934391005,0.2152671934391003,Sample
H9,235.5,137.5,37.0,9,H,0.2034283908090627,0.1000000000000003,0.6965716091909367,Sample
H10,231.0,137.5,47.5,10,H,0.2034283908090627,0.1000000000000003,0.6965716091909367,Sample
H11,227.0,141.5,45.0,11,H,0.2034283908090627,0.1000000000000003,0.6965716091909367,Sample
H12,234.5,132.5,36.5,12,H,0.2034283908090627,0.1000000000000003,0.6965716091909367,Sample
