well,R,G,B
A1,209.5,142.0,66.5
A2,196.0,135.0,54.0
A3,185.5,120.5,50.5
A4,101.5,91.0,53.0
A5,113.5,95.0,55.5
A6,147.5,110.0,42.5
A7,159.0,109.5,32.5
A8,153.0,103.0,33.5
A9,169.0,111.0,40.5
A10,154.0,105.0,37.0
A11,150.0,104.5,33.0
A12,150.0,102.0,31.5
B1,228.0,144.0,52.0
B2,152.5,120.5,55.0
B3,116.5,107.5,59.0
B4,153.5,111.5,38.0
B5,114.0,101.0,56.0
B6,146.0,111.5,54.5
B7,158.0,114.0,36.5
B8,120.0,102.0,45.0
B9,134.0,103.5,47.0
B10,134.0,101.5,41.5
B11,122.0,98.0,39.0
B12,122.5,91.0,40.5
C1,154.5,121.0,62.5
C2,155.5,121.5,56.0
C3,114.5,101.5,54.0
C4,166.5,119.5,44.5
C5,125.5,102.0,39.0
C6,177.0,118.0,41.0
C7,158.5,107.5,35.0
C8,170.0,117.5,38.0
C9,175.0,124.5,48.0
C10,152.0,103.0,37.0
C11,125.5,96.5,37.0
C12,150.0,108.0,33.0
D1,118.0,106.5,61.0
D2,217.5,141.0,49.0
D3,173.0,120.5,50.5
D4,149.5,117.5,57.5
D5,169.0,125.0,52.0
D6,169.5,122.0,41.0
D7,178.5,128.0,54.0
D8,167.5,121.0,48.5
D9,181.0,127.5,48.5
D10,173.0,123.0,42.0
D11,180.0,122.5,48.0
D12,166.0,106.5,37.0
E1,149.5,124.5,64.0
E2,128.0,110.0,58.5
E3,135.0,111.0,55.5
E4,169.0,124.5,51.5
E5,142.0,113.5,49.5
E6,162.5,121.0,43.0
E7,162.5,123.5,51.5
E8,177.5,127.5,49.5
E9,182.0,118.0,41.0
E10,154.5,118.5,48.5
E11,168.0,118.5,42.5
E12,170.0,112.0,36.0
F1,175.0,130.5,66.5
F2,158.5,128.0,66.0
F3,126.5,114.0,63.0
F4,155.0,120.0,46.5
F5,189.0,139.0,64.5
F6,158.0,121.0,65.0
F7,169.0,129.5,54.5
F8,195.5,134.5,49.5
F9,156.0,111.5,57.5
F10,161.5,126.5,66.5
F11,188.0,135.5,54.0
F12,188.5,125.5,54.0
G1,177.5,137.5,66.0
G2,178.0,133.5,50.5
G3,132.5,113.0,55.5
G4,132.5,116.5,63.0
G5,171.5,126.0,55.0
G6,138.5,112.5,55.0
G7,142.0,117.5,55.0
G8,187.5,129.0,44.5
G9,185.0,129.0,52.0
G10,196.0,134.5,51.0
G11,196.5,132.0,48.5
G12,179.5,127.5,56.0
H1,161.5,127.0,56.0
H2,170.0,129.0,58.0
H3,173.0,131.0,69.5
H4,165.0,123.5,55.5
H5,139.0,115.5,57.0
H6,171.5,129.0,41.5
H7,166.0,124.0,54.0
H8,179.5,130.5,55.5
H9,181.0,125.0,34.5
H10,179.5,124.5,47.5
H11,160.5,130.5,61.0
H12,185.5,128.0,49.0
