well,R,G,B,column,row,Color1_ratio,Color2_ratio,Color3_ratio,tag
A5,113.5,94.5,51.5,5,A,0.2,0.3,0.5,Target
A6,150.0,108.0,40.0,6,A,0.2,0.3,0.5,Target
A7,159.0,114.0,37.5,7,A,0.2,0.3,0.5,Target
A8,153.5,106.0,33.5,8,A,0.2,0.3,0.5,Target
B5,115.0,105.0,55.5,5,B,0.2,0.3,0.5,Target
B6,144.0,115.0,53.5,6,B,0.2,0.3,0.5,Target
B7,159.0,115.0,42.5,7,B,0.2,0.3,0.5,Target
B8,117.5,94.0,45.5,8,B,0.2,0.3,0.5,Target
C5,126.5,98.5,41.0,5,C,0.2,0.3,0.5,Target
C6,179.5,116.0,39.0,6,C,0.2,0.3,0.5,Target
C7,155.5,107.5,36.5,7,C,0.2,0.3,0.5,Target
C8,167.5,115.0,39.5,8,C,0.2,0.3,0.5,Target
D5,163.0,115.5,44.0,5,D,0.2,0.3,0.5,Target
D6,172.0,121.0,42.5,6,D,0.2,0.3,0.5,Target
D7,177.0,132.0,54.0,7,D,0.2,0.3,0.5,Target
D8,167.5,123.5,48.5,8,D,0.2,0.3,0.5,Target
E5,140.5,114.0,45.0,5,E,0.2,0.3,0.5,Target
E6,166.5,123.0,44.5,6,E,0.2,0.3,0.5,Target
E7,163.5,123.5,55.5,7,E,0.2,0.3,0.5,Target
E8,176.5,127.5,50.5,8,E,0.2,0.3,0.5,Target
F5,188.0,133.5,59.5,5,F,0.2,0.3,0.5,Target
F6,157.5,121.5,64.0,6,F,0.2,0.3,0.5,Target
F7,170.0,129.5,49.5,7,F,0.2,0.3,0.5,Target
F8,193.5,131.0,47.0,8,F,0.2,0.3,0.5,Target
G5,170.0,125.0,53.5,5,G,0.2,0.3,0.5,Target
G6,137.5,109.0,56.0,6,G,0.2,0.3,0.5,Target
G7,141.5,118.5,54.5,7,G,0.2,0.3,0.5,Target
G8,191.0,132.0,51.5,8,G,0.2,0.3,0.5,Target
H5,148.5,115.0,55.0,5,H,0.2,0.3,0.5,Target
H6,167.5,121.5,39.0,6,H,0.2,0.3,0.5,Target
H7,167.5,123.5,57.5,7,H,0.2,0.3,0.5,Target
H8,175.0,127.0,53.5,8,H,0.2,0.3,0.5,Target
