well,R,G,B
A9,166.0,112.5,37.5
A10,154.0,105.5,37.0
A11,152.0,105.5,31.0
A12,150.0,101.5,35.0
B9,133.0,101.5,51.0
B10,135.5,100.0,40.0
B11,121.5,97.5,39.5
B12,120.0,91.0,39.5
C9,177.5,121.0,49.5
C10,153.5,105.0,43.0
C11,126.5,97.0,36.5
C12,150.5,105.0,37.0
D9,181.0,128.5,49.0
D10,173.5,126.0,46.0
D11,182.5,123.0,47.5
D12,165.5,108.5,36.5
E9,180.0,120.0,45.5
E10,153.0,116.5,47.0
E11,171.5,122.0,42.5
E12,168.0,114.5,36.0
F9,153.5,111.5,58.5
F10,165.0,128.5,66.5
F11,186.5,133.5,54.0
F12,182.5,122.5,49.5
G9,192.0,134.0,49.5
G10,196.0,135.0,49.0
G11,196.0,133.5,48.0
G12,180.5,129.0,55.0
H9,174.0,120.0,39.5
H10,180.5,127.0,45.0
H11,158.5,126.5,62.0
H12,178.5,121.0,41.0
