well,R,G,B
A1,123.5,133.5,134.5
A2,127.5,137.5,139.5
A3,129.5,140.0,141.5
A4,134.5,144.5,146.5
B1,135.5,145.5,147.0
B2,133.0,144.0,145.0
B3,135.0,144.0,147.0
B4,137.5,147.5,149.5
C1,133.0,144.0,146.0
C2,135.0,144.0,149.0
C3,137.0,147.5,150.0
C4,141.0,151.0,153.0
D1,134.0,144.0,146.0
D2,135.0,146.0,147.0
D3,140.0,151.0,152.0
D4,143.0,153.0,156.0
E1,136.0,146.0,147.0
E2,138.0,148.0,149.0
E3,141.0,151.0,154.0
E4,144.5,154.0,157.0
F1,138.0,147.0,149.5
F2,141.5,151.5,153.0
F3,144.0,154.0,155.0
F4,147.5,157.5,158.5
G1,130.5,139.0,140.5
G2,141.0,151.0,153.0
G3,144.0,154.0,155.5
G4,149.0,159.0,161.0
H1,146.0,156.0,157.0
H2,152.5,161.0,162.5
H3,153.5,164.0,166.0
H4,158.0,168.0,170.0
