well,R,G,B
A1,123.5,133.5,134.5
A2,127.5,137.5,139.5
A3,129.5,140.0,141.5
A4,134.5,144.5,146.5
A5,138.5,147.5,149.0
A6,138.5,148.0,150.0
A7,140.0,151.0,152.5
A8,143.5,152.0,155.0
A9,144.0,154.0,155.0
A10,144.0,154.0,156.0
A11,143.0,153.5,155.0
A12,142.5,151.0,156.0
B1,135.5,145.5,147.0
B2,133.0,144.0,145.0
B3,135.0,144.0,147.0
B4,137.5,147.5,149.5
B5,141.5,151.5,153.5
B6,143.0,152.5,156.0
B7,147.0,155.0,158.0
B8,146.0,156.0,158.0
B9,146.0,156.0,158.0
B10,146.0,156.0,158.0
B11,148.0,156.0,161.0
B12,141.5,151.0,156.0
C1,133.0,144.0,146.0
C2,135.0,144.0,149.0
C3,137.0,147.5,150.0
C4,141.0,151.0,153.0
C5,142.5,152.5,154.5
C6,144.0,153.5,157.0
C7,146.0,156.0,158.0
C8,148.0,158.0,160.5
C9,151.5,162.0,164.0
C10,149.0,159.5,161.5
C11,147.5,159.0,162.5
C12,146.5,156.0,159.0
D1,134.0,144.0,146.0
D2,135.0,146.0,147.0
D3,140.0,151.0,152.0
D4,143.0,153.0,156.0
D5,145.0,154.0,156.5
D6,147.5,157.5,160.0
D7,148.5,158.5,160.5
D8,151.0,158.0,164.5
D9,148.0,161.0,167.0
D10,152.0,159.0,165.0
D11,151.5,161.5,165.0
D12,148.0,156.5,162.0
E1,136.0,146.0,147.0
E2,138.0,148.0,149.0
E3,141.0,151.0,154.0
E4,144.5,154.0,157.0
E5,148.0,158.0,160.0
E6,153.0,162.0,166.5
E7,151.5,161.0,165.0
E8,149.0,161.0,164.0
E9,151.0,160.0,165.0
E10,152.5,163.0,166.0
E11,155.0,164.0,168.5
E12,143.0,152.0,157.0
F1,138.0,147.0,149.5
F2,141.5,151.5,153.0
F3,144.0,154.0,155.0
F4,147.5,157.5,158.5
F5,151.0,161.0,163.0
F6,154.0,163.0,165.0
F7,154.0,162.0,168.0
F8,153.0,163.0,166.5
F9,156.0,166.0,168.0
F10,156.0,166.0,168.5
F11,155.0,164.5,168.0
F12,147.5,156.5,163.5
G1,130.5,139.0,140.5
G2,141.0,151.0,153.0
G3,144.0,154.0,155.5
G4,149.0,159.0,161.0
G5,151.0,161.0,163.0
G6,156.0,166.0,168.0
G7,156.5,166.0,168.5
G8,156.0,166.0,168.0
G9,157.5,167.5,170.0
G10,156.0,166.0,168.0
G11,156.5,166.0,169.5
G12,149.5,155.0,159.0
H1,146.0,156.0,157.0
H2,152.5,161.0,162.5
H3,153.5,164.0,166.0
H4,158.0,168.0,170.0
H5,161.5,171.0,174.0
H6,164.0,173.0,178.0
H7,166.0,176.0,179.0
H8,165.5,174.5,178.0
H9,167.5,177.0,180.0
H10,167.0,177.0,179.0
H11,165.0,176.0,179.0
H12,159.5,168.5,174.0
