well,R,G,B
A1,237.5,158.0,63.0
A2,245.0,162.5,63.0
A3,244.0,159.0,73.5
A4,239.5,167.5,81.0
B1,232.0,133.5,43.0
B2,246.0,141.0,49.0
B3,238.0,129.0,37.5
B4,242.0,140.0,48.5
C1,242.0,143.5,46.0
C2,243.5,146.0,43.0
C3,240.0,146.5,50.0
C4,239.0,145.0,49.0
D1,238.0,151.5,80.0
D2,237.0,147.0,68.5
D3,236.0,152.0,90.0
D4,241.0,151.0,86.0
E1,229.0,125.5,52.5
E2,228.0,120.5,39.0
E3,234.0,125.0,42.0
E4,235.0,124.0,39.0
F1,236.5,148.5,52.5
F2,235.0,154.0,54.5
F3,241.5,155.0,52.5
F4,239.0,158.5,58.0
G1,134.0,135.5,79.0
G2,224.0,148.0,50.0
G3,221.0,143.0,53.0
G4,209.5,140.0,49.5
H1,232.0,144.0,50.0
H2,239.5,149.5,58.0
H3,230.0,144.5,58.0
H4,227.0,148.0,55.0
